          0,          4,          0,         16,         -4,        -16,         -8,          0,         12,          4,         28,        -12,        -20,         32,         12,         -4
        -16,        -20,         28,         20,          0,         -4,         -4,          0,          0,         20,         -4,         -8,          8,         -8,          0,         -8
         -4,         -8,        -12,        -28,         -8,          4,        -24,          4,          0,        -28,        -20,        -12,         -8,         20,          4,         -8
         20,        -12,         -4,         32,         24,         24,         56,         52,        -28,         28,        100,       -936,       -976,         52,         84,         36
         12,         20,         24,        -20,        -56,          4,         -4,        -16,         -4,        -20,         -4,          0,          4,        -20,        -24,          8
         12,         12,         12,        -16,        -20,          0,          4,          8,          4,         -4,        -12,         -4,         12,          0,         -8,         -4
         -4,          8,         24,          8,         -8,         -8,        -12,        -12,        -32,          4,         16,        -32,        -32,         -4,         36,        -12
        -36,          0,        -16,          0,         16,         -8,        -12,       1000,       1004,       -996,       -996,        -16,        984,       1008,          0,          8
        -12,          0,         28,         -8,        -12,      -1008,        -16,        988,         12,          8,          4,         12,         12,          4,        -24,      -1008
         20,          0,        -16,       1008,         16,         -4,          4,         -4,         -4,         16,        -24,        -20,         -4,         -4,         32,          0
         -8,         -4,        -12,          8,         -4,         -8,          8,          0,          4,         -4,        -12,         16,          4,         -4,        -12,          0
          8,         -4,          8,          4,          4,          4,         -8,        -12,        -16,          0,         16,         16,          0,          0,         -8,        -20
         12,          4,        -16,         -8,         12,         -4,        -12,         16,         12,         -4,         -8,         -4,         12,         12,        -32,          4
         36,        -28,        -12,         32,         20,         -4,        -12,      -1004,          4,       1004,         -4,          4,         12,         -4,         -8,         16
        -16,        -20,          8,         -8,          8,         12,         -4,          0,          4,         -4,          4,          8,         -4,         -8,        -20,         -4
         16,         -4,          0,          0,         -8,        -12,          8,         24,         -4,         -8,         16,         20,        -16,        -36,        -20,        -16
         16,         40,          8,         12,         16,          4,        -16,        -24,         12,         12,        -20,         -8,         12,         20,          8,      -1020
         -8,       1004,      -1004,          8,        988,        -16,         16,       -996,      -1004,       1008,         -4,          0,        996,      -1008,       -992,       1004
       1004,         16,          0,      -1020,          0,          8,      -1008,       1004,          8,      -1012,         -8,       1004,          4,         12,         20,      -1004
        -12,         12,         20,         -4,         -8,         12,         16,         16,         20,          8,        -12,         32,         52,          8,         -8,        -36
        -48,        -24,        -24,        968,        972,        -28,        -20,        -20,        -24,        -24,        -28,         -8,          0,        -28,        -24,          0
        -16,          4,          4,        -12,         28,         24,         28,         20,        -20,          0,         -4,         -4,         12,        -16,          0,         -8
        -16,         20,         -8,        -16,         12,          8,        -20,        -16,         16,          4,          4,         16,         12,        -16,         -8,         24
         -4,         -4,          0,         -4,          8,          0,         -4,          8,          8,        -28,        -12,         16,          8,          8,         -4,        -20
         -4,         -4,        -16,          4,         16,         12,         -8,        -20,        -12,          0,          8,         12,          4,         16,          4,        -12
        -12,        -88,       -136,        -84,        -56,        -40,        -28,        -16,          0,        -16,        -20,         -8,          0,          0,         -8,          8
         36,         48,         76,        128,        160,       -824,       -840,         68,         20,          8,        -12,        -32,         -4,         -8,        -44,        -16
        -12,          0,          0,         -4,         -8,        -20,        -24,          8,         32,         16,         -4,        -32,         -4,         28,         -8,        -16
         -8,       1000,         16,       -988,         -8,          4,         12,        -20,        -12,         16,          4,         -8,          4,         -8,         -4,         -4
        996,         24,      -1004,        -32,          0,          0,         -8,         -4,         12,         12,         -4,         -4,         24,         28,        984,        -16
      -1016,        -16,          0,       1008,          8,      -1008,         -4,         20,       1008,        -12,      -1012,        -12,         28,         16,         20,          8
         -8,          8,         -8,         16,         -8,        -36,        952,        864,       -120,        -24,        -12,          0,         64,        168,          0,          4
          0,         16,         -4,        -16,         -8,          0,         12,          4,         28,        -12,        -20,         32,         12,         -4,        -16,        -20
         28,         20,          0,         -4,         -4,          0,          0,         20,         -4,         -8,          8,         -8,          0,         -8,         -4,         -8
        -12,        -28,         -8,          4,        -24,          4,          0,        -28,        -20,        -12,         -8,         20,          4,         -8,         20,        -12
         -4,         32,         24,         24,         56,         52,        -28,         28,        100,       -936,       -976,         52,         84,         36,         12,         20
         24,        -20,        -56,          4,         -4,        -16,         -4,        -20,         -4,          0,          4,        -20,        -24,          8,         12,         12
         12,        -16,        -20,          0,          4,          8,          4,         -4,        -12,         -4,         12,          0,         -8,         -4,         -4,          8
         24,          8,         -8,         -8,        -12,        -12,        -32,          4,         16,        -32,        -32,         -4,         36,        -12,        -36,          0
        -16,          0,         16,         -8,        -12,       1000,       1004,       -996,       -996,        -16,        984,       1008,          0,          8,        -12,          0
         28,         -8,        -12,      -1008,        -16,        988,         12,          8,          4,         12,         12,          4,        -24,      -1008,         20,          0
        -16,       1008,         16,         -4,          4,         -4,         -4,         16,        -24,        -20,         -4,         -4,         32,          0,         -8,         -4
        -12,          8,         -4,         -8,          8,          0,          4,         -4,        -12,         16,          4,         -4,        -12,          0,          8,         -4
          8,          4,          4,          4,         -8,        -12,        -16,          0,         16,         16,          0,          0,         -8,        -20,         12,          4
        -16,         -8,         12,         -4,        -12,         16,         12,         -4,         -8,         -4,         12,         12,        -32,          4,         36,        -28
        -12,         32,         20,         -4,        -12,      -1004,          4,       1004,         -4,          4,         12,         -4,         -8,         16,        -16,        -20
          8,         -8,          8,         12,         -4,          0,          4,         -4,          4,          8,         -4,         -8,        -20,         -4,         16,         -4
          0,          0,         -8,        -12,          8,         24,         -4,         -8,         16,         20,        -16,        -36,        -20,        -16,         16,         40
          8,         12,         16,          4,        -16,        -24,         12,         12,        -20,         -8,         12,         20,          8,      -1020,         -8,       1004
      -1004,          8,        988,        -16,         16,       -996,      -1004,       1008,         -4,          0,        996,      -1008,       -992,       1004,       1004,         16
          0,      -1020,          0,          8,      -1008,       1004,          8,      -1012,         -8,       1004,          4,         12,         20,      -1004,        -12,         12
         20,         -4,         -8,         12,         16,         16,         20,          8,        -12,         32,         52,          8,         -8,        -36,        -48,        -24
        -24,        968,        972,        -28,        -20,        -20,        -24,        -24,        -28,         -8,          0,        -28,        -24,          0,        -16,          4
          4,        -12,         28,         24,         28,         20,        -20,          0,         -4,         -4,         12,        -16,          0,         -8,        -16,         20
         -8,        -16,         12,          8,        -20,        -16,         16,          4,          4,         16,         12,        -16,         -8,         24,         -4,         -4
