          0,          4,          0,         16,         -4,        -16,         -8,          0,         12,          4,         28,        -12,        -20,         32,         12,         -4
        -16,        -20,         28,         20,          0,         -4,         -4,          0,          0,         20,         -4,         -8,          8,         -8,          0,         -8
         -4,         -8,        -12,        -28,         -8,          4,        -24,          4,          0,        -28,        -20,        -12,         -8,         20,          4,         -8
         20,        -12,         -4,         32,         24,         24,         56,         52,        -28,         28,        100,       -128,       -128,         52,         84,         36
         12,         20,         24,        -20,        -56,          4,         -4,        -16,         -4,        -20,         -4,          0,          4,        -20,        -24,          8
         12,         12,         12,        -16,        -20,          0,          4,          8,          4,         -4,        -12,         -4,         12,          0,         -8,         -4
         -4,          8,         24,          8,         -8,         -8,        -12,        -12,        -32,          4,         16,        -32,        -32,         -4,         36,        -12
        -36,          0,        -16,          0,         16,         -8,        -12,        127,        127,       -128,       -128,        -16,        127,        127,          0,          8
        -12,          0,         28,         -8,        -12,       -128,        -16,        127,         12,          8,          4,         12,         12,          4,        -24,       -128
         20,          0,        -16,        127,         16,         -4,          4,         -4,         -4,         16,        -24,        -20,         -4,         -4,         32,          0
         -8,         -4,        -12,          8,         -4,         -8,          8,          0,          4,         -4,        -12,         16,          4,         -4,        -12,          0
          8,         -4,          8,          4,          4,          4,         -8,        -12,        -16,          0,         16,         16,          0,          0,         -8,        -20
         12,          4,        -16,         -8,         12,         -4,        -12,         16,         12,         -4,         -8,         -4,         12,         12,        -32,          4
         36,        -28,        -12,         32,         20,         -4,        -12,       -128,          4,        127,         -4,          4,         12,         -4,         -8,         16
        -16,        -20,          8,         -8,          8,         12,         -4,          0,          4,         -4,          4,          8,         -4,         -8,        -20,         -4
         16,         -4,          0,          0,         -8,        -12,          8,         24,         -4,         -8,         16,         20,        -16,        -36,        -20,        -16
         16,         40,          8,         12,         16,          4,        -16,        -24,         12,         12,        -20,         -8,         12,         20,          8,       -128
         -8,        127,       -128,          8,        127,        -16,         16,       -128,       -128,        127,         -4,          0,        127,       -128,       -128,        127
        127,         16,          0,       -128,          0,          8,       -128,        127,          8,       -128,         -8,        127,          4,         12,         20,       -128
        -12,         12,         20,         -4,         -8,         12,         16,         16,         20,          8,        -12,         32,         52,          8,         -8,        -36
        -48,        -24,        -24,        127,        127,        -28,        -20,        -20,        -24,        -24,        -28,         -8,          0,        -28,        -24,          0
        -16,          4,          4,        -12,         28,         24,         28,         20,        -20,          0,         -4,         -4,         12,        -16,          0,         -8
        -16,         20,         -8,        -16,         12,          8,        -20,        -16,         16,          4,          4,         16,         12,        -16,         -8,         24
         -4,         -4,          0,         -4,          8,          0,         -4,          8,          8,        -28,        -12,         16,          8,          8,         -4,        -20
         -4,         -4,        -16,          4,         16,         12,         -8,        -20,        -12,          0,          8,         12,          4,         16,          4,        -12
        -12,        -88,       -128,        -84,        -56,        -40,        -28,        -16,          0,        -16,        -20,         -8,          0,          0,         -8,          8
         36,         48,         76,        127,        127,       -128,       -128,         68,         20,          8,        -12,        -32,         -4,         -8,        -44,        -16
        -12,          0,          0,         -4,         -8,        -20,        -24,          8,         32,         16,         -4,        -32,         -4,         28,         -8,        -16
         -8,        127,         16,       -128,         -8,          4,         12,        -20,        -12,         16,          4,         -8,          4,         -8,         -4,         -4
        127,         24,       -128,        -32,          0,          0,         -8,         -4,         12,         12,         -4,         -4,         24,         28,        127,        -16
       -128,        -16,          0,        127,          8,       -128,         -4,         20,        127,        -12,       -128,        -12,         28,         16,         20,          8
         -8,          8,         -8,         16,         -8,        -36,        127,        127,       -120,        -24,        -12,          0,         64,        127,          0,          4
          0,         16,         -4,        -16,         -8,          0,         12,          4,         28,        -12,        -20,         32,         12,         -4,        -16,        -20
         28,         20,          0,         -4,         -4,          0,          0,         20,         -4,         -8,          8,         -8,          0,         -8,         -4,         -8
        -12,        -28,         -8,          4,        -24,          4,          0,        -28,        -20,        -12,         -8,         20,          4,         -8,         20,        -12
         -4,         32,         24,         24,         56,         52,        -28,         28,        100,       -128,       -128,         52,         84,         36,         12,         20
         24,        -20,        -56,          4,         -4,        -16,         -4,        -20,         -4,          0,          4,        -20,        -24,          8,         12,         12
         12,        -16,        -20,          0,          4,          8,          4,         -4,        -12,         -4,         12,          0,         -8,         -4,         -4,          8
         24,          8,         -8,         -8,        -12,        -12,        -32,          4,         16,        -32,        -32,         -4,         36,        -12,        -36,          0
        -16,          0,         16,         -8,        -12,        127,        127,       -128,       -128,        -16,        127,        127,          0,          8,        -12,          0
         28,         -8,        -12,       -128,        -16,        127,         12,          8,          4,         12,         12,          4,        -24,       -128,         20,          0
        -16,        127,         16,         -4,          4,         -4,         -4,         16,        -24,        -20,         -4,         -4,         32,          0,         -8,         -4
        -12,          8,         -4,         -8,          8,          0,          4,         -4,        -12,         16,          4,         -4,        -12,          0,          8,         -4
          8,          4,          4,          4,         -8,        -12,        -16,          0,         16,         16,          0,          0,         -8,        -20,         12,          4
        -16,         -8,         12,         -4,        -12,         16,         12,         -4,         -8,         -4,         12,         12,        -32,          4,         36,        -28
        -12,         32,         20,         -4,        -12,       -128,          4,        127,         -4,          4,         12,         -4,         -8,         16,        -16,        -20
          8,         -8,          8,         12,         -4,          0,          4,         -4,          4,          8,         -4,         -8,        -20,         -4,         16,         -4
          0,          0,         -8,        -12,          8,         24,         -4,         -8,         16,         20,        -16,        -36,        -20,        -16,         16,         40
          8,         12,         16,          4,        -16,        -24,         12,         12,        -20,         -8,         12,         20,          8,       -128,         -8,        127
       -128,          8,        127,        -16,         16,       -128,       -128,        127,         -4,          0,        127,       -128,       -128,        127,        127,         16
          0,       -128,          0,          8,       -128,        127,          8,       -128,         -8,        127,          4,         12,         20,       -128,        -12,         12
         20,         -4,         -8,         12,         16,         16,         20,          8,        -12,         32,         52,          8,         -8,        -36,        -48,        -24
        -24,        127,        127,        -28,        -20,        -20,        -24,        -24,        -28,         -8,          0,        -28,        -24,          0,        -16,          4
          4,        -12,         28,         24,         28,         20,        -20,          0,         -4,         -4,         12,        -16,          0,         -8,        -16,         20
         -8,        -16,         12,          8,        -20,        -16,         16,          4,          4,         16,         12,        -16,         -8,         24,         -4,         -4
          0,         -4,          8,          0,         -4,          8,          8,        -28,        -12,         16,          8,          8,         -4,        -20,         -4,         -4
