17,66,-99,57,125,-63,103,83,-65,78,-118,81,66,119,74,108,108,107,-83,125,90,-113,-14,-45,30,25,-91,84,68,-30,45,-107,-73,-57,122,87,-67,51,66,-82,32,57,62,91,47,55,84,-128,52,-93,49,-4,56,-50,72,82,14
15,28,75,86,-99,7,77,-76,-120,-102,62,81,104,-96,-103,89,-13,78,24,-15,-81,63,63,92,-56,111,-125,107,-73,127,-126,43,-65,106,-104,-40,95,9,-95,-116,96,44,61,59,-61,105,-6,-11,58,-124,79,-113,81,110,90,101,126
22,36,-64,118,44,103,60,52,7,106,-125,68,50,-42,-72,57,-100,64,94,110,68,71,53,4,13,-74,52,-46,53,-9,-23,-86,-21,80,-32,-100,119,-68,52,-104,-59,53,125,-16,72,-88,72,-95,-69,66,35,89,16,107,60,80,-102
21,-48,92,107,61,54,-84,-123,0,-6,116,-95,2,-10,-125,-24,-23,67,87,82,73,39,63,57,27,-98,72,-117,48,-110,65,-83,-35,-60,-19,-61,98,45,42,-69,-70,13,76,71,79,-91,5,-19,60,-116,-92,-39,-83,76,-113,-45,-22
-65,45,-90,75,54,-63,-32,96,66,-121,76,-16,43,-43,-31,52,105,1,78,-92,-62,92,55,76,-108,77,-50,95,46,94,27,60,73,102,73,109,23,61,76,17,104,51,80,127,89,55,-117,1,-64,34,35,54,5,67,21,83,-25
6,102,92,103,-1,44,85,-78,-82,-95,58,-112,-62,93,-31,63,119,-35,122,3,67,-93,108,-29,22,70,52,-105,30,-45,35,50,-38,80,58,62,90,42,47,-24,-7,-51,63,72,70,-48,67,-123,-23,-27,16,48,-84,-86,-4,75,-33
32,101,-26,-75,109,11,89,85,71,-65,20,46,-114,-58,32,-109,66,-72,-99,65,44,56,125,101,37,61,-98,83,-104,92,54,73,84,-92,-71,53,-92,106,6,99,-71,45,-71,-22,121,46,81,111,45,124,39,83,47,-54,-99,78,5
62,10,74,-93,65,97,-95,82,83,95,-105,9,-60,104,44,70,3,72,12,82,65,62,62,4,84,-71,-87,48,38,19,70,-1,89,122,71,116,44,-61,-78,-33,12,47,-2,-92,-101,50,90,57,73,-18,96,-60,-112,-39,-29,-112,-11
30,-15,117,-90,49,25,40,116,114,-125,64,25,16,-40,61,-88,87,51,-42,-9,64,43,56,-73,-41,72,90,-55,117,-111,-42,69,-127,-107,78,-80,55,67,42,109,10,-80,77,83,57,-83,65,-65,34,-16,36,-63,22,-69,9,-49,32
-15,91,75,23,76,21,1,-54,84,-123,-111,114,68,-23,17,-86,-46,-97,106,-21,-8,103,67,95,-80,-119,69,89,-127,78,56,59,84,112,74,-68,20,57,-18,32,3,49,81,-18,10,53,-87,-65,74,71,1,35,36,93,69,71,37
